body
вопрос предыдущему/следующему роллеру
рекомендацию книги/фильма/песни/игры/маняме
рецензию на любой контент
список своей одежды
свою последнюю покупку
инструкцию как делать (или не делать) что угодно
комплимент предыдущему роллеру (не себе)
комплимент следующему роллеру (не себе)
сколько длился последний сон
что тебе снилось
о чем думаешь перед сном
о чем мечтаешь
то, с чем большинство здесь не согласится
что тебя не устраивает в происходящем, и что с этим делать
что тебя раздражает
что тебя успокаивает
что тебе больше всего нравится есть
своё мнение о веществе (любом)
байку про себя/не про себя
правда или действие от первого кто успеет
мудрую цитату (можно свою)
что тебя триггерит
факт о себе который выбивается из твоего образа в глазах окружающих
чего больше всего боишься
your guilty pleasure(наверняка их больше одного, правда?)
что вертится у тебя в голове
что тебя тревожит
что хорошего с тобой произошло
что последнее тебя обрадовало
как ты проводишь выходные
как бы тебе хотелось провести день(любой)
что заставляет тебя засидеться, и лечь спать позже чем нужно (inb4: кубик)
как ты снимаешь стресс
что бы хотелось попробовать из еды
коротенький стишок
задание для предыдущего роллера
задание для следующего роллера
признание в любви кому-нибудь в лс (через несколько минут можно рассказать что это задание)
что-нибудь плохое про кого-нибудь
вопрос предыдущему роллеру
вопрос следующему роллеру
вопрос себе
название выдуманной книги
трешовые идеи для отмечания какого-нибудь праздника
что-нибудь на рационалистском
теорему Байеса по памяти
почему с тобой сложно жить в одной комнате
под какой стереотип ты попадаешь
свою вредную привычку
что в тебе прекрасно
что в тебе отвратительно
интересный факт про то, что любишь
что есть хорошего в том, что не любишь
что бы хотелось в себе поменять
чем пахнет вокруг тебя
что ты сейчас пьешь или что было последним
твой любимый алкоголь
какой алкоголь ты ненавидишь
на что ты хочешь пожаловаться сейчас
комплименты трем! последним роллерам
пожелание предыдущему роллеру
на какой вопрос ты сейчас больше всего хочешь узнать ответ
любимую цитату из книги
какое ты животное сейчас
какой ты цветок сейчас
историю про твою аватарку в телеграме
какие эмодзи кажутся тебе самыми сексуальными
есть ли что-то, что тебе кажется сексуальным, а другим — нет/не особо/все равно
что ты считаешь самым сексуальным в себе
что ты считаешь наименее сексуальным в себе
что тебя недавно удивило
что приятного с тобой случилось сегодня
что для тебя тактильно приятно
что ты трогаешь когда грустно
что хочется потрогать
какой урок был для тебя главным в этом году
где тебе хотелось бы сейчас быть больше всего
о каком недавнем поступке ты жалеешь
какой твой любимый запах
какой запах, тебе нравится, а другим — нет/не особо/все равно
о чем в последнее время ты хочешь вести длинные разговоры?
с кем ты хочешь общаться, но (по любой причине) не общаешься?
пожелание себе
сообщение себе-через-год
пожелание прошлогодней версии себя
пожелание 18летней версии себя
кем вы видите себя через пять лет
как выглядит твоя идеальная работа
чем бы хотелось заниматься, если бы не надо было думать о деньгах
сколько денег в кошельке/на карте
историю из детства за которую стыдно (или нет)
в каких отношениях тебе хотелось бы быть
про проблему, которую недавно удалось решить
что ты ешь, когда тебе лень готовить
свой маленький секрет
самое грязное ругательство которое придёт в голову
