body
любое фото себя
смешное видео
фото чего-нибудь вокруг себя
кринжовый мем
фото котика
любое видео с животными
последнюю прослушанную песню
последнее просмотренное видео
понравившееся нсфв
вид из окна
фотку пола под собой
хвост
любимый мемас
последнюю пикчу из галереи
ссылку на интересный сайт
голосовое со словами
голосовое с ономатопеей
любимый стикер
селфи с закрытым лицом (каким-нибудь предметом)
своё фото чего-то сломанного
фото из места где довелось побывать (можно из интернета)
фото чего-нибудь что подарили
фото самого интересного из своего рюкзака(сумки)
предмет вызывающий приятные воспоминания
музыку из любимых
голосовое где ты хрюкаешь
загадку (которая загадка а не знай ответ заранее типа зимой и летом...)
несколько эмодзи описывающих фильм
несколько эмодзи описывающих игру
несколько эмодзи описывающих книгу
голосовалку по важному вопросу
геолокацию
содержимое буфера обмена (ctrl+v)
видеокружочек с собой
красивый арт
скриншот тудушника/списка дел
любой свой рисунок
фотографию где ты с животным
фотографию того по чему/кому скучаешь
картину художника который тебе нравится
рисунок того что скажет нарисовать следующий роллер
скриншот из игры в которую ты сейчас играешь
свой нюдс если хочешь
свой хард нюдс если хочешь
nudes
асмр
любую сигну кому-нибудь из чата
5 эмодзи которые ассоциируются с предыдущем роллером
то что считаешь в себе самым сексуальным (если хочешь)
самый красивый предмет в твоей комнате
твое любимое украшение
последний мем который тебе кто-либо прислал лично
фотографию сделанную тобой год назад
фотографию сделанную тобой два года назад
фотографию сделанную тобой три года назад
трек за который тебе когда-либо было стыдно что он тебе нравится
очень старую фотографию себя
скрин или фото страницы книги которую читаешь
скриншот любого недавнего диалога
